1	ț’a	da'ak'	'shine (of sun)'	0.4
1230	ṭɛ	tra	'that.SG.NOM'	0.25
1232	xálk’a	xal'a	'put a stick in a crack'	0.7
1233	wák’i	wik'	'2DU.VOC.IMPER'	0.0
1234	lá	lap'	'whip'	0.5
1236	nɛn		'1SG.PRIM'	0.5
1237	kíhi	gitr'i	'hold between two objects'	0.625
1239	táan	daban	'lose what one has'	0.7
1241	lánhin	la:na	'hear'	0.625
1243	ṭaniṭ	tr'aniw	'badger'	0.7
1244	taxinhin	tawin	'to become morning'	0.7
1245	ṭípni	tripni'	'one endowed with magic powers'	0.75
1246	ṭa’	tr'ap	'bow used for hunting'	0.5
1248	ṭau	tr'ap	'bow used for hunting'	0.5
1251	hin	hi'	'FUT'	0.5
1256	hin	hi'	'FUT'	0.5
1258	kítax	gada:y	'be unable to reach sth, give out'	0.4
1259	ṭányiṭit	trana:yitr	'fear'	0.35700000000000004
1264	hin	hi'	'FUT'	0.5
1265	'ankimak’	'amak'	'3DU.NOM'	0.1
1266	naaṣ	na'ashr	'dubitative'	0.7
1267	hik’yoɬ	hiyuk	'where.NOM'	0.1
1271	hin	hi'	'FUT'	0.5
1273	hitc’i	hishri	'get ripe, become cooked'	0.625
1274	wiyá	wiyi	'say, do'	0.625
1282	ṭau	tr'ap	'bow used for hunting'	0.5
1283	tánhin	ta:na	'go'	0.625
1284	ṭau	tr'ap	'bow used for hunting'	0.5
1285	hik’ɛ̯́’i‘ɛ	hik'e:yic'	'player'	0.35700000000000004
1287	yau	ya'	'go'	0.5
1288	hiyɔɔk	hiyuk	'where.NOM'	0.7
1289	t’ulá	dala	'flatten (grass or brush on ground)'	0.25
1293	yɔkɔ́	yo:wo	'go home'	0.625
1295	ts’i	c'ip'i	'surround'	0.25
1298	yɔlɔ́winhin	yolo:w	'assemble tr'	0.4
1299	yɛ	ya'	'go'	0.0
1301	t’au	da'ak'	'shine (of sun)'	0.4
1302	kaɛ́	k'ac'	'obsidian'	0.5
1304	ni	nim	'1SG.GEN'	0.5
1305	'út’aɬ	'ut't'al	'solely, nothing but'	0.75
1310	hauk	ha'uk	'what.NOM'	0.7
1311	ma	mak'	'1DU.INCL.NOM'	0.5
1314	wáts’was	wac'was	'stake in gambling'	0.75
1317	ya	ya'	'go'	0.5
1322	kú’tcun	guchrchrun	'name'	0.75
1323	wíhin	widin	'roll sth'	0.7
1324	ṭáu	tr'ap	'bow used for hunting'	0.5
1328	ṭ’áwɛn	tr'aw'a	'win from'	0.4
1330	manan	ma'an	'2PL.NOM'	0.7
1331	'ɔ́ṣtɔu	'oshrot	'to handle fire'	0.4
1332	k’ɔ́ɛn	gitr'e:n	'hold under the arm'	0.4
1333	yɔ	yo:w	'go home'	0.5
1335	na	na'	'1SG.NOM'	0.5
1337	hi	hi'	'FUT'	0.5
1338	ṭau	tr'ap	'bow used for hunting'	0.5
1339	ṭ’awɛn	tr'aw'a	'win from'	0.4
1341	na	na'	'1SG.NOM'	0.5
1343	hi	hi'	'FUT'	0.5
1344	'ɔ́ṣtɔu	'oshrot	'to handle fire'	0.4
1345	k’ɔ́ɛn	gitr'e:n	'hold under the arm'	0.4
1349	hin	hi'	'FUT'	0.5
1350	kútc’un	guchrchrun	'name'	0.75
1351	hɔt’ɔnɛk’	hot'o:ne:	'build a fire'	0.5
1353	pís	p'isi	'burn'	0.625
1355	ṭ’awánan	tr'aw'a	'win from'	0.1
1356	'am	'at'	'cut'	0.5
1357	ṭau	tr'ap	'bow used for hunting'	0.5
1358	k’ɔ’ɔ’	k'o'o	'throw at, throw'	0.625
1360	ɔ́	'op	'moon, a watch'	0.5
1362	nit	nim	'1SG.GEN'	0.5
1363	hí	hi'	'FUT'	0.5
1365	yam	ya'	'go'	0.5
1366	wiyá	wiyi	'say, do'	0.625
1369	wa’amak	wa'ashrta:/	'be more, be very much'	0.35700000000000004
1370	kitɛ́u̯an	gitr'e:n	'hold under the arm'	0.1
1371	mi	min	'2SG.GEN'	0.5
1375	wɔ́	wa	'however'	0.25
1377	ṭɛn	tr'un	'anal hair'	0.5
1381	hí	hi'	'FUT'	0.5
1383	yam	ya'	'go'	0.5
1386	ya	ya'	'go'	0.5
1389	k’ɔntc’ɔ́	gonlo:	'cause to descend'	0.7
1391	tc’i’	c'iy'	'bone'	0.625
1394	ṣki	sik'i	'stick sth into the ground'	0.625
1395	hí	hi'	'FUT'	0.5
1397	yam	ya'	'go'	0.5
1399	tanhin	ta:na	'go'	0.625
1403	kaɛ́	k'ac'	'obsidian'	0.5
1405	ni	nim	'1SG.GEN'	0.5
1406	ts’ɛ́ts’wisk’a	c'ec'wis	'try, make efforts'	0.0
1407	ṭányiṭit	trana:yitr	'fear'	0.35700000000000004
1410	yá	ya'	'go'	0.5
1416	ṣtá	shra:pa	'burn'	0.25
1419	wa’	wa	'however'	0.25
1420	tánhin	ta:na	'go'	0.625
1421	kutc’un	guchrchrun	'name'	0.75
1423	yiksítxɔ	yiki	'fart'	0.25
1424	tauṭa	tawtra:	'kill tr'	0.7
1426	'ɔ́h’yɔxɔ	'ohyo:	'want, look for (YT has root ?oyoxo)'	0.7
1430	’ṣ	'ashr	'actually, really'	0.5
1432	lɔ	lap'	'whip'	0.0
1434	lɔ	lap'	'whip'	0.0
1436	wísxɔ	walxo:	'pass'	0.4
1437	pɔnyil	be:ni	'cook by burying in ashes'	0.0
1439	yiksíthin	yiki	'fart'	0.25
1442	t’ɔyɔxí	t'oyox	'doctor, give medicine'	0.4
1444	saxɔ	shroxo	'exterminate, massacre'	0.625
1447	’xɔ	'a:xa	'stay overnight itr'	0.25
1449	t’ɔ́yɔx	t'oyox	'doctor, give medicine'	0.7
1452	tɛ́	de:yi	'take the lead, get in front'	0.25
1454	yau	ya'	'go'	0.5
1457	hin	hi'	'FUT'	0.5
1459	hí	hi'	'FUT'	0.5
1461	yam	ya'	'go'	0.5
1463	kiṭíu̯hin	gitr'i	'hold between two objects'	0.625
1466	pinɛ́	bine:t	'ask'	0.7
1468	tit	di'	'with a little doubt'	0.5
1469	k’ɔntc’ɔ́	gonlo:	'cause to descend'	0.7
1471	tc’i	c'ip'i	'surround'	0.25
1472	hiyɔ́	hoyo:	'name (read in YT)'	0.625
1474	k	ki	'when'	0.25
1476	hí	hi'	'FUT'	0.5
1478	yam	ya'	'go'	0.5
1481	hin	hi'	'FUT'	0.5
1482	kaɛ́	k'ac'	'obsidian'	0.5
1484	ni	nim	'1SG.GEN'	0.5
1486	pinɛ́tan	bine:t	'ask'	0.4
1489	kiṭíu̯hin	gitr'i	'hold between two objects'	0.625
1492	yá	ya'	'go'	0.5
1495	mí	min	'2SG.GEN'	0.5
1499	wɔṭɛn	wotr'od	'increase sth, draw interest'	0.4
1500	wiyá	wiyi	'say, do'	0.625
1503	yɔ	yo:w	'go home'	0.5
1506	mi	min	'2SG.GEN'	0.5
1509	háka	hawa	'do what?'	0.625
1513	yá	ya'	'go'	0.5
1519	kɔṭ’ɔ'ɔ́	go:tr'o	'overtake'	0.25
1521	hin	hi'	'FUT'	0.5
1522	kútc’un	guchrchrun	'name'	0.75
1527	hin	hi'	'FUT'	0.5
1528	kútc’un	guchrchrun	'name'	0.75
1532	yíksithin	yiki	'fart'	0.25
1533	wálxɔm	walxo:	'pass'	0.7
1534	ṭ’íhá	tr'ihe:	'become lean'	0.625
1538	yiksitin	yiki	'fart'	0.25
1545	yítshin	yit-'	'be one?'	0.5
1546	wɔilɔ́	wil	'2PL.VOC.IMPER'	0.0
1548	hin	hi'	'FUT'	0.5
1549	'ílk’a	'e:k'a	'see, look at'	0.25
1550	máyɛk	mak'	'1DU.INCL.NOM'	0.0
1552	hɔkínhin	hogon	'float downstream'	0.7
1554	kutcɔ́	go:bo	'put in, take in'	0.25
1556	nun		'1SG.PRIM'	0.5
1557	yɔ́u	yo:mu	'dispossess; cuckold s.o.'	0.625
1558	ta’an	da'ak'	'shine (of sun)'	0.7
1559	ma̯íni	mayni	'AR.EMPH'	0.7
1560	hɔkínhin	hogon	'float downstream'	0.7
1561	kúṭc’un	guchrchrun	'name'	0.5
1563	tá	dab	'next, on the other hand, then'	0.5
1565	n	na'	'1SG.NOM'	0.0
1567	tis	tisi	'come out'	0.625
1569	hin	hi'	'FUT'	0.5
1573	límk’a	laga:	'spend the night'	0.25
1574	yɔu	yo:mu	'dispossess; cuckold s.o.'	0.625
1575	páṭṭan	bat'an	'face (toward)'	0.4
1576	yiksíthin	yiki	'fart'	0.25
1577	t’ɔy	do'o	'touch with the penis'	0.25
1578	xé	xo:	'live, exist, be'	0.25
1580	saxɔ	shroxo	'exterminate, massacre'	0.625
1581	ta	dab	'next, on the other hand, then'	0.5
1583	nɛ́	na'	'1SG.NOM'	0.0
1585	ni	nim	'1SG.GEN'	0.5
1586	mí	min	'2SG.GEN'	0.5
1590	ṭ’ánwaw	tr'aniw	'badger'	0.7
1595	hin	hi'	'FUT'	0.5
1596	ṭ’ánwa	draxa	'step over, take a step'	0.25
1599	máxhin	mak'	'1DU.INCL.NOM'	0.5
1603	hin	hi'	'FUT'	0.5
1605	tínliu	dini	'shield'	0.25
1608	ṭau	tr'ap	'bow used for hunting'	0.5
1611	hin	hi'	'FUT'	0.5
1612	kutc’un	guchrchrun	'name'	0.75
1613	'ɔh’yɔ́xɔ	'ohyo:	'want, look for (YT has root ?oyoxo)'	0.7
1616	ṭau	tr'ap	'bow used for hunting'	0.5
1619	yɔu	yo:mu	'dispossess; cuckold s.o.'	0.625
1621	hí	hi'	'FUT'	0.5
1623	yam	ya'	'go'	0.5
1624	yɔu	yo:mu	'dispossess; cuckold s.o.'	0.625
1625	pinɛ́	bine:t	'ask'	0.7
1627	tit	di'	'with a little doubt'	0.5
1628	k’ɔntc’ɔ́	gonlo:	'cause to descend'	0.7
1630	tc’i’	c'iy'	'bone'	0.625
1631	hí	hi'	'FUT'	0.5
1633	yɔk	yo:w	'go home'	0.5
1635	hi	hi'	'FUT'	0.5
1637	yam	ya'	'go'	0.5
1640	hin	hi'	'FUT'	0.5
1643	yá	ya'	'go'	0.5
1647	'ama	'ama'	'3SG.NOM'	0.7
1651	hin	hi'	'FUT'	0.5
1652	ṭanyíṭit	trana:yitr	'fear'	0.35700000000000004
1653	ti	di'	'with a little doubt'	0.5
1660	yá	ya'	'go'	0.5
1665	'amítcin	'amin	'3SG.GEN'	0.7
1668	yá	ya'	'go'	0.5
1673	yɔu	yo:mu	'dispossess; cuckold s.o.'	0.625
1674	kumná	gumo:y	'serve as midwife'	0.4
1676	ni	nim	'1SG.GEN'	0.5
1679	ni	nim	'1SG.GEN'	0.5
1681	yɔu	yo:mu	'dispossess; cuckold s.o.'	0.625
1682	ṭ’ɛɛ	tr'e:'a:	'seek a husband'	0.25
1684	tínhin	dini	'shield'	0.625
1687	kutc’	k'ac'	'obsidian'	0.5
1690	taan	daban	'lose what one has'	0.7
1691	páṭ’aṣ	bala:s	'creep on hands and knees'	0.7
1692	tishin	tisi	'come out'	0.625
1693	kutc’	k'ac'	'obsidian'	0.5
1696	hí	hi'	'FUT'	0.5
1698	yam	ya'	'go'	0.5
1699	yɔ́	yo:w	'go home'	0.5
1701	ɔṭan	'a:dran	'be exited [sic]'	0.7
1704	yɔu	yo:mu	'dispossess; cuckold s.o.'	0.625
1705	manɛ́	mak'	'1DU.INCL.NOM'	0.0
1708	wɔilɔ́	wil	'2PL.VOC.IMPER'	0.0
1710	hin	hi'	'FUT'	0.5
1711	k’ɔ́lpɔ	go:bo	'put in, take in'	0.625
1713	pɔ́	bok	'muscle, calf of leg'	0.5
1717	yɔu	yo:mu	'dispossess; cuckold s.o.'	0.625
1718	wɔ́ṭhin	wotro	'hit with a club'	0.625
1721	kútc’	k'ac'	'obsidian'	0.5
1725	ṭau	tr'ap	'bow used for hunting'	0.5
1726	máni	mayni	'AR.EMPH'	0.7
1729	hin	hi'	'FUT'	0.5
1730	k’ɔ́lpɔ	go:bo	'put in, take in'	0.625
1732	pɔ	bok	'muscle, calf of leg'	0.5
1735	paṭ’as	bala:s	'creep on hands and knees'	0.7
1736	tíshin	tisi	'come out'	0.625
1739	taan	daban	'lose what one has'	0.7
1740	pinɛ́	bine:t	'ask'	0.7
1742	tit	di'	'with a little doubt'	0.5
1743	k’ɔ́ntc’ɔ	gonlo:	'cause to descend'	0.7
1745	tc’i’	c'iy'	'bone'	0.625
1746	hiyɔ	hoyo:	'name (read in YT)'	0.625
1748	k	ki	'when'	0.25
1753	hin	hi'	'FUT'	0.5
1757	hin	hi'	'FUT'	0.5
1762	yá	ya'	'go'	0.5
1765	waaṣta	wa'ashrta:/	'be more, be very much'	0.7859999999999999
1769	tau	dab	'next, on the other hand, then'	0.5
1770	wɔ́ṭhin	wotro	'hit with a club'	0.625
1778	hin	hi'	'FUT'	0.5
1782	wɔṭhin	wotro	'hit with a club'	0.625
1783	kútc’	k'ac'	'obsidian'	0.5
1790	tánhin	ta:na	'go'	0.625
1792	yi’	ya'	'go'	0.5
1794	íṭṣa	'iná:	'FEAR'	0.625
1795	pɔnɛ́	be:ni	'cook by burying in ashes'	0.25
1801	ya	ya'	'go'	0.5
1803	wísxɔ	walxo:	'pass'	0.4
1804	limk’in	limi	'file'	0.625
1806	té	de:yi	'take the lead, get in front'	0.25
1808	’yau	'at'	'cut'	0.0
1809	kɔ	k'otr'	'tule'	0.5
1811	’pínhin	'ip'in	'acorn flour'	0.7
1812	pinɛ́	bine:t	'ask'	0.7
1814	tit	di'	'with a little doubt'	0.5
1818	tinuk	t'inik'	'hide, screen from sight'	0.7
1820	tɛ́	de:yi	'take the lead, get in front'	0.25
1822	’yau	'at'	'cut'	0.0
1823	kɔ	k'otr'	'tule'	0.5
1825	ɔpínhin	'ip'in	'acorn flour'	0.7
1826	ṭanyiṭ	trana:yitr	'fear'	0.7859999999999999
1827	ṭin	drim	'condor'	0.5
1830	yá	ya'	'go'	0.5
1835	kaɛ́	k'ac'	'obsidian'	0.5
1837	ni	nim	'1SG.GEN'	0.5
1838	wák	wik'	'2DU.VOC.IMPER'	0.5
1841	hí	hi'	'FUT'	0.5
1843	yt’iuláxɔ	yimil	'catch fish with the hand'	0.0
1848	hin	hi'	'FUT'	0.5
1851	tinuk	t'inik'	'hide, screen from sight'	0.7
1856	yá	ya'	'go'	0.5
1862	té	de:yi	'take the lead, get in front'	0.25
1864	’yau	'at'	'cut'	0.0
1867	hin	hi'	'FUT'	0.5
1870	yá	ya'	'go'	0.5
1873	kutc’	k'ac'	'obsidian'	0.5
1879	yá	ya'	'go'	0.5
1884	yiṭ	yit-'	'be one?'	0.5
1885	tin	dini	'shield'	0.625
1888	yá	ya'	'go'	0.5
1891	k’ɔntc’ɔ	gonlo:	'cause to descend'	0.7
1893	tc’i’	c'iy'	'bone'	0.625
1895	píṭcwit	pic'i	'count'	0.0
1896	kútc’	k'ac'	'obsidian'	0.5
1900	k’ɔ́	k'otr'	'tule'	0.5
1903	'ɔ́ṣtɔu	'oshrot	'to handle fire'	0.4
1904	yɔu	yo:mu	'dispossess; cuckold s.o.'	0.625
1906	ts’ɔuwí	c'owo	'grasp'	0.0
1908	hni	he:xi	'fatten'	0.25
1910	pítcwit	pic'i	'count'	0.25
1912	tá	dab	'next, on the other hand, then'	0.5
1915	t’úlut	t'ulu	'burn tr'	0.25
1922	hin	hi'	'FUT'	0.5
1924	mani’	ma:gin	'1DU.INCL.GEN'	0.4
1925	k’é	ki	'when'	0.25
1927	xa	xo:	'live, exist, be'	0.25
1929	tásin	tawin	'to become morning'	0.7
1931	kaɛ́	k'ac'	'obsidian'	0.5
1933	ni	nim	'1SG.GEN'	0.5
1934	hɔupuṣhun	hubushr	'choose'	0.7
1935	hutá	hudu	'recognize, know'	0.625
1939	'aminɔ́	'amin	'3SG.GEN'	0.7
1941	kun	kin	'this.SG.PRIM'	0.5
1942	k’ɛ	ki	'when'	0.25
1944	xá	xo:	'live, exist, be'	0.25
1950	tánhin	ta:na	'go'	0.625
1951	ṭɛ́u	tr'e:'a:	'seek a husband'	0.25
1952	'aminɔ́	'amin	'3SG.GEN'	0.7
1954	kun	kin	'this.SG.PRIM'	0.5
1955	hí	hi'	'FUT'	0.5
1957	yam	ya'	'go'	0.5
1959	t’úlhun	da'al	'come to life, escape'	0.4
1960	kutc’	k'ac'	'obsidian'	0.5
1962	ɔn	'op	'moon, a watch'	0.5
1969	man	mak'	'1DU.INCL.NOM'	0.5
1971	wɔ́w’yatin	wa:'al	'breakfast'	0.0
1974	nit	nim	'1SG.GEN'	0.5
1979	yá	ya'	'go'	0.5
1982	nɔ	now	'hook'	0.5
1984	tcɛ́	c'e:da:	'gather greens, eat greens (N-->V) itr/tr?'	0.25
1987	wílnim	wilshrin	'but, in spite of that'	0.5
1988	nɔ	now	'hook'	0.5
1990	n’wísk’a	na:nikwa	'1DU.EXCL.PRIM'	0.14300000000000002
1993	yá	ya'	'go'	0.5
1998	ṣá	shra:pa	'burn'	0.25
2000	likhin	lilin	'get dewy'	0.7
2001	mí	min	'2SG.GEN'	0.5
2005	tahan	daban	'lose what one has'	0.7
2006	mí	min	'2SG.GEN'	0.5
2010	yɔ́	yo:w	'go home'	0.5
2012	’k	'e:	'AMAZEMENT'	0.25
2015	waáṣta	wa'ashrta:/	'be more, be very much'	0.7859999999999999
2016	kɔ	k'otr'	'tule'	0.5
2018	píntau	bat'an	'face (toward)'	0.1
2019	ta	dab	'next, on the other hand, then'	0.5
2021	á	ayanayawiyi'	'sway'	0.0
2024	ṭáu	tr'ap	'bow used for hunting'	0.5
2028	hin	hi'	'FUT'	0.5
2032	ṭɛ́	tra	'that.SG.NOM'	0.25
2034	xalxɔ	xal'a	'put a stick in a crack'	0.4
2035	wíṭṣɛp	wic'et	'stick'	0.7
2037	p’unuṭká	puhuk'	'survive'	0.0
2039	ni	nim	'1SG.GEN'	0.5
2041	ṭɛ́	tra	'that.SG.NOM'	0.25
2043	xalxɔ	xal'a	'put a stick in a crack'	0.4
2044	tɔshítxɔ	do:so	'report, tell about'	0.25
2045	'amá	'ama'	'3SG.NOM'	0.7
2047	míkwa	makwa	'1DU.INCL.PRIM'	0.7
2050	man	mak'	'1DU.INCL.NOM'	0.5
2051	mihmiṭṣ	mihnichr	'still, yet'	0.75
2054	ṭɛ	tra	'that.SG.NOM'	0.25
2056	xalxɔ́	xal'a	'put a stick in a crack'	0.4
2058	hin	hi'	'FUT'	0.5
2059	yɔu	yo:mu	'dispossess; cuckold s.o.'	0.625
2063	hin	hi'	'FUT'	0.5
2065	t’úyɔs	t'uyos	'arrow'	0.7
2069	hin	hi'	'FUT'	0.5
2070	ṭa’áma’	tra'tra'	'ally'	0.5
2071	mɔ́xɔlɔ	mo:xol	'become old'	0.7
2072	ká	k'ac'	'obsidian'	0.5
2076	ṣutɔ́khun	shrudo:k'	'remove'	0.4
2078	k’ínpa	gapa	'uphold, help'	0.25
2079	mí	min	'2SG.GEN'	0.5
2082	ṭi’náusɛn	tra'ashr	'continuously'	0.1
2083	mí	min	'2SG.GEN'	0.5
2086	'amá	'ama'	'3SG.NOM'	0.7
2088	míkwa	makwa	'1DU.INCL.PRIM'	0.7
2089	ṭ’ík’ɛn	tripe:n	'move sth away from'	0.7
2095	hin	hi'	'FUT'	0.5
2096	ṭɔk’ɔhnɛɬ	tro:k'o	'strike, hit'	0.0
2098	kínpin	kinip	'put on a dress'	0.7
2100	mí	min	'2SG.GEN'	0.5
2103	mai	mak'	'1DU.INCL.NOM'	0.5
2104	xátɛn	xata	'eat'	0.25
2107	yá	ya'	'go'	0.5
2114	yɔkɔ́	yo:wo	'go home'	0.625
2116	tsi	c'ip'i	'surround'	0.25
2124	mɔxlɔ́	mo:lu	'cheat'	0.25
2128	wiyá	wiyi	'say, do'	0.625
2132	mí	min	'2SG.GEN'	0.5
2135	na	na'	'1SG.NOM'	0.5
2136	lá	lap'	'whip'	0.5
2138	na	na'	'1SG.NOM'	0.5
2139	mí	min	'2SG.GEN'	0.5
2142	má	mak'	'1DU.INCL.NOM'	0.5
2144	wɔ	wa	'however'	0.25
2145	ṭányiṭit	trana:yitr	'fear'	0.35700000000000004
2146	wiyá	wiyi	'say, do'	0.625
2153	niṭ	nim	'1SG.GEN'	0.5
2154	hí	hi'	'FUT'	0.5
2156	yam	ya'	'go'	0.5
2157	wa’	wa	'however'	0.25
2158	taxínhin	tawin	'to become morning'	0.7
2159	tɔ́inɔ	dini	'shield'	0.25
2160	má	mak'	'1DU.INCL.NOM'	0.5
2162	wɔk’	wik'	'2DU.VOC.IMPER'	0.5
2163	ṭí	drim	'condor'	0.5
2165	mi	min	'2SG.GEN'	0.5
2166	mí	min	'2SG.GEN'	0.5
2170	lá	lap'	'whip'	0.5
2172	na	na'	'1SG.NOM'	0.5
2175	ya	ya'	'go'	0.5
2179	mɔ́xlɔ	mo:lu	'cheat'	0.25
2181	hí	hi'	'FUT'	0.5
2183	yam	ya'	'go'	0.5
2184	ma	mak'	'1DU.INCL.NOM'	0.5
2186	wɔ́	wa	'however'	0.25
2188	hun	hunu	'block'	0.625
2189	taaṣ	da'ak'	'shine (of sun)'	0.4
2190	tɔ́inɔu	dini	'shield'	0.0
2192	má	mak'	'1DU.INCL.NOM'	0.5
2194	wu‘	wik'	'2DU.VOC.IMPER'	0.0
2195	tsuupṭau	zhu'ba'	'a part'	0.25
2196	tɔinɔ́	dini	'shield'	0.25
2205	ya	ya'	'go'	0.5
2211	’ʒay	'a:cay	'mahogany'	0.7
2212	ṭɛ	tra	'that.SG.NOM'	0.25
2214	xálhin	xat	'food'	0.5
2215	hɔ̢	hon	'egg'	0.5
2217	hɔ̢	hon	'egg'	0.5
2220	yá	ya'	'go'	0.5
2225	ṣta	shra:pa	'burn'	0.25
2226	pɔ’yɔ́	ba'mo:	'smoke (tobacco)'	0.4
2228	mi	min	'2SG.GEN'	0.5
2231	yá	ya'	'go'	0.5
2235	yɔu	yo:mu	'dispossess; cuckold s.o.'	0.625
2236	'úṭhun	'utru	'play music'	0.625
2237	tɔ́inɔu	dini	'shield'	0.0
2238	'ama	'ama'	'3SG.NOM'	0.7
2240	yɔu	yo:mu	'dispossess; cuckold s.o.'	0.625
2246	yá	ya'	'go'	0.5
2251	ṭɛ́	tra	'that.SG.NOM'	0.25
2253	xalhin	xat	'food'	0.5
2255	wɔ́	wa	'however'	0.25
2259	ká	k'ac'	'obsidian'	0.5
2264	nɔ	now	'hook'	0.5
2266	tcɛ́	c'e:da:	'gather greens, eat greens (N-->V) itr/tr?'	0.25
2270	ṣalak’ɛ́	sha:lak'	'wake up (itr)'	0.7
2272	hin	hi'	'FUT'	0.5
2275	nuk	na'	'1SG.NOM'	0.0
2276	wiyá	wiyi	'say, do'	0.625
2280	mí	min	'2SG.GEN'	0.5
2284	táhan	daban	'lose what one has'	0.7
2285	wiyá	wiyi	'say, do'	0.625
2289	'ama	'ama'	'3SG.NOM'	0.7
2290	ṭau	tr'ap	'bow used for hunting'	0.5
2292	tíshin	tisi	'come out'	0.625
2293	wa’	wa	'however'	0.25
2294	p’é	batr	'as usual'	0.0
2296	p’at’iu	ban'itr'	'intestines'	0.25
2297	ṭɛ́in	tre:kin	'fear, become exited [sic] with'	0.7
2299	ṭau	tr'ap	'bow used for hunting'	0.5
2300	ṣɔklɔ́nɔ	shroglin	'get perforated'	0.5
2303	’xɔ	'a:xa	'stay overnight itr'	0.25
2305	ṭaniṭ	tr'aniw	'badger'	0.7
2307	tíshin	tisi	'come out'	0.625
2308	wa’	wa	'however'	0.25
2310	kɔ́	k'otr'	'tule'	0.5
2312	ninhin	nim	'1SG.GEN'	0.5
2314	hi	hi'	'FUT'	0.5
2316	yam	ya'	'go'	0.5
2317	wák	wik'	'2DU.VOC.IMPER'	0.5
2320	táwaná	tawan	'be dawn'	0.7
2322	hin	hi'	'FUT'	0.5
2324	c̣alik’hin	c'alis	'sweet smell'	0.7
2326	ka	k'ac'	'obsidian'	0.5
2330	xɔxɔ́	xoshro	'rub'	0.625
2332	hin	hi'	'FUT'	0.5
2335	tauṭá	tawtra:	'kill tr'	0.7
2337	lis	lap'	'whip'	0.0
2338	yɔkɔ́	yo:wo	'go home'	0.625
2340	tsi	c'ip'i	'surround'	0.25
2341	wɔṭhín	wotro	'hit with a club'	0.625
2343	witcɛ́	wic'et	'stick'	0.7
2345	pa	batr	'as usual'	0.5
2348	'axam	'amam	'3SG.PRIM'	0.7
2352	cílhin	c'iliw	'get dizzy'	0.4
2353	kítax	gada:y	'be unable to reach sth, give out'	0.4
2355	wítcɛp	wic'et	'stick'	0.7
2357	wak	wik'	'2DU.VOC.IMPER'	0.5
2360	xiṭíu̯hin	xitriw	'become angry'	0.7
2363	cutɔ́khun	c'udo:l	'hatch tr'	0.1
2365	ṭɛ́	tra	'that.SG.NOM'	0.25
2373	maxhin	mak'	'1DU.INCL.NOM'	0.5
2375	t’úyɔs	t'uyos	'arrow'	0.7
2378	k’ɔ́	k'otr'	'tule'	0.5
2380	hin	hi'	'FUT'	0.5
2383	xɔsím	xoshro	'rub'	0.25
2384	hut	hudu	'recognize, know'	0.625
2387	hiyɔk	hiyuk	'where.NOM'	0.7
2389	tanhin	ta:na	'go'	0.625
2393	hin	hi'	'FUT'	0.5
2395	t’úyɔs	t'uyos	'arrow'	0.7
2397	ṭau	tr'ap	'bow used for hunting'	0.5
2400	yɔu	yo:mu	'dispossess; cuckold s.o.'	0.625
2401	k’ɔ́	k'otr'	'tule'	0.5
2403	hin	hi'	'FUT'	0.5
2404	páluʿ	ba:lo:	'feel in the dark'	0.625
2406	yɔ́u	yo:mu	'dispossess; cuckold s.o.'	0.625
2407	yɔ	yo:w	'go home'	0.5
2409	’ké	'e:	'AMAZEMENT'	0.25
2411	hin	hi'	'FUT'	0.5
2413	ṭau	tr'ap	'bow used for hunting'	0.5
2414	táan	daban	'lose what one has'	0.7
2417	yɔu	yo:mu	'dispossess; cuckold s.o.'	0.625
2418	k’ɔ́	k'otr'	'tule'	0.5
2420	hin	hi'	'FUT'	0.5
2421	nɔ́	now	'hook'	0.5
2423	tuw	tuk'	'ear'	0.5
2425	yɔu	yo:mu	'dispossess; cuckold s.o.'	0.625
2428	hin	hi'	'FUT'	0.5
2430	taán	daban	'lose what one has'	0.7
2431	ṭau	tr'ap	'bow used for hunting'	0.5
2436	hin	hi'	'FUT'	0.5
2438	yɔútap	ya'	'go'	0.0
2440	lɛhɛ́	lets'a	'talk to'	0.25
2442	man	mak'	'1DU.INCL.NOM'	0.5
2446	t’úyɔs	t'uyos	'arrow'	0.7
2451	mɔxlɔ́	mo:lu	'cheat'	0.25
2454	tɛ́	de:yi	'take the lead, get in front'	0.25
2456	’yau	'at'	'cut'	0.0
2457	'amá	'ama'	'3SG.NOM'	0.7
2459	mikwa	makwa	'1DU.INCL.PRIM'	0.7
2460	kɔ́	k'otr'	'tule'	0.5
2462	ninhin	nim	'1SG.GEN'	0.5
2464	hí	hi'	'FUT'	0.5
2466	yam	ya'	'go'	0.5
2467	'ama	'ama'	'3SG.NOM'	0.7
2469	míkwa	makwa	'1DU.INCL.PRIM'	0.7
2470	taɛ́	dab	'next, on the other hand, then'	0.5
2472	lsaxɔ	loxo	'pour, spill'	0.25
2474	ṭau	tr'ap	'bow used for hunting'	0.5
2478	hin	hi'	'FUT'	0.5
2480	mɔ́xlɔ	mo:lu	'cheat'	0.25
2483	máxhin	mak'	'1DU.INCL.NOM'	0.5
2485	t’úyɔs	t'uyos	'arrow'	0.7
2486	mí	min	'2SG.GEN'	0.5
2489	'amá	'ama'	'3SG.NOM'	0.7
2491	mikwa	makwa	'1DU.INCL.PRIM'	0.7
2494	ni	nim	'1SG.GEN'	0.5
2495	k’ɔk’ílɛn	giwil	'meet s.o.'	0.4
